#公安部对30人发出A级通缉令# 一个人贩子判死刑前说出的话，让人目瞪口呆！ 问：你为什么要贩卖儿童？答：钱来得快又比较简单。   问：你不知道是犯罪吗？答：不就是一个小孩吗？他们可以再生呗！   问：你参与过多少次贩卖儿童的犯罪行为？最多一次拐了几个？答：记不清了，每个月都卖好几个。最多一次好像拐了3-4个，记不清了。   问：你知道被贩卖儿童的去向吗？答：全国各地都有，有专门的人卖，我就负责拐。上面人不允许我知道孩子下落，说是怕警察查到他们。   问：你的作案手法？答：哄得听的就骗，太机灵的就抢，不听话的就打晕带走，大人不留神就下手了。   问：你是不是瞄准了一些儿童作案的？答：看着健康的就留意一下，穿着漂亮的也留意，质量好的才能卖个好价钱。   问：拐卖过程中你是否曾杀害儿童？答：（沉默了一会，点头）那娃哭声太大，差点把人招来，和我一伙的怕事，就把娃丢河里了。这是他干的，不是我！   面对他回答的每一句，我们的心都在滴血。让我们心惊的是他已经不记得贩卖了多少的儿童，让多少家庭破碎，光是一想就恨得牙痒痒！ 有媒体称，中国每年失踪儿童有20万，而找回率仅有0.1%。这也就意味着剩下99.9%的家庭，都在破碎的边缘。孩子的被拐，改写的不仅是孩子的人生，同样是父母的人生。对这些拐卖人口的犯罪团伙要严厉打击。                ,严惩不贷！;买孩子的、卖孩子的都得拉出去枪毙五分钟;也许他们在面对枪毙的那一刻还在纳闷“不就是一个小孩吗？至于吗？”;,2019/12/26 23:55,rumor
#人贩子梅姨落网，在湖南郴州已落网 深圳·中信城市广场,,2019/11/17 11:05,rumor
现在的人贩子也太猖狂了吧？抓到必须严惩啊！  我的损友是个极品的微博视频,牵着的另外那个孩子会不会是被拐的？;换我，绝对报警！;家长一点都不担心，干嘛让她跑，店主还比她们俩操心。;,2019/9/28 13:00,rumor
湖北的朋友们，有个被拐儿童在广东汕头派出所，口音像湖北的，转发一下希望早点找到他爸妈！爱心接力🙏🙏🙏看到这种消息，非常痛恨人贩子，非常心疼孩子，愿他们一家早日团聚🙏🙏 童颜永在--心理医生的微博视频,,2019/7/18 8:55,rumor
【震怒：这伙人贩子太猖獗了】如今的人贩子越来越猖獗了，竟敢一路开车一路偷盗小孩，还随车携带匕首等作案凶器，幸好警察当场抓获了这伙全副武装的人贩子......善意提醒：如今的人贩子真的无孔不入，希望家长们务必看好自己的孩子！#这伙人贩子太猖獗了# 西子丹聊斋的微博视频,,2019/7/19 22:38,rumor
合肥市交警在包河大道抓到一个人贩子！带小孩子外出要注意安全！感谢人民警察！@合肥110  @合肥交警   合肥 合肥豁牙巴的微博视频,不是合肥本地，别传谣;这是温州的;合肥警方已经辟谣了;,2019/7/11 20:23,rumor
愿天下人贩子都能如畜生对待。#红人的诞生# 快来看啊的秒拍视频,人贩子就tm应该抓到一个枪毙一个;人贩子之所以贩卖小孩儿，是因为有利可图，如果我们每个人都拒绝买小孩的话，这种情况就会减少。不过说真的，你要是真缺孩子，就不能去领养一个么，孤儿院的孤儿那么多，领养还不犯法。;还是古代连坐的法律好，一个人犯罪杀一家。针对人贩子;,2018/12/31 0:35,rumor
网传一个推拿私人诊所，从人贩子手里买了一个小孩子做活体示范。请大家转发 ，找找这几个畜生！为这个小孩子找到父母亲，转发就等于做件善事！ http,,2018/8/9 20:48,rumor
网传一个推拿私人诊所，从人贩子手里买了一个小孩子做活体示范，先把孩子脖子扭歪，然后再校正，请大家转发 ，人肉那牲口，找找这几个畜生！为这个小孩子找到父母亲，转发就等于做件善事！ 南通·世贸广场 http,,2018/8/9 19:37,rumor
建昌营北关的孩子、被外地批发冰棍的人塞进了冷冻车里、幸亏发现的及时、孩子得救了、偷孩子的人正在被挨打、提醒大家、一定要看好自己的孩子、路过的请转发 秦皇岛·安山镇 愛吥解释520LI的微博视频,谣言止于智者、不造谣不传谣、;辟谣了！！！;辟谣;,2018/7/11 21:15,rumor
昨天甘肃金昌，武威被偷了三个孩子，兰州也丢了两个孩子～有一个陌生人刚把孩子迷晕，幸好被人及时发现，偷孩子的两个人被抓了起来，现关在武威东关派出所。根据他们交代，这一次他们这个团伙派了一千多人，专偷七岁以上的孩子，可能是要人体器官，比如肾脏什么的。今天古浪县偷了5个孩子，最小4岁，最大12岁，现已全城戒严。在微信圈发一下，提醒各位父母，孩子贪玩，时时关注玩耍去向。莫一时大意，丢了孩子。请看管好自己的宝贝儿！ 昨天晚饭时，永昌一中旁一妇女一个1岁多的小孩被3疑犯抢走 注意了 ，甘A68815奥迪车，在各学校门口抢小孩！！！110已经证实！！全市通缉！！不求点,回复@流水潺潺_18077:这个我也不知道咋么弄上去的，账号我已经很久没登过了;再别传谣造谣了，这是谣言。;,2018/6/28 19:40,rumor
太嚣张了，爷爷接小孩放学，被黄衣服人贩子当街抢走要拐掉卖了，被识破后还要抢小孩。。太可怕了，请家长们多加注意防范秒拍视频 三明·火烈鸟自助KTV,,2018/6/26 0:18,rumor
罗甸县公安局， 紧急通知。请所有家长注意，罗甸县昨日在罗捆被偷了止跳动三个孩子，罗妥也丢了两个孩子，有一个陌生人刚把孩子迷晕，幸好被人及时发现，偷孩子的两人以被公安机关抓获，关押在龙评派出所。根据他们交代，这一次他们这个团伙派了500多人，专偷三岁以上的孩子，可能是要人体器官，比如肾脏什么的。前天安底偷了5个孩子，最小4岁，最大12岁，现已全城戒严。在微信圈发一下，提醒各位父母，孩子贪玩，时时关注玩耍去向。莫一时大意，丢了孩子。请看管好自己的宝贝儿！ 昨天晚饭时，虎口乡妇女一个1岁多的小孩被3疑犯抢走 注意了 ，贵AA4983黑色越野车，在各学校门口抢小孩！！！110已经证实！！不求点,您好，我是罗甸县公安局网上公开巡查执法网警。经初步核查，您的账号发布含有不实的信息内容，请自行将其删除。警方提示：根据《治安管理处罚法》，散布谣言，谎报险情、疫情、警情或者以其他方法故意扰乱公共秩序的行为，公安机关将依法予以处理。;博主您好，你所反映的问题已经转罗甸县公安局网安大队核实！请不要信谣传谣！;传谣造谣要负法律责任的。我是罗甸的，没有听到你所说的内容！;,2018/4/26 10:55,rumor
请所有朋友注意了，挨千刀的狼又来了，昨天六堰被偷了三个孩子，郧县也丢了两个孩子有一个陌生人刚把孩子迷晕，幸好被路过人及时发现，偷孩子的两个人被抓了起来，根据他们交代，这一次他们这个团伙派了一百多人，专偷四岁以上的孩子，可能是要人体器官，比如肾脏什么的。前天重庆偷了25个孩子，最小4岁，最大12岁，现已全城戒严。在微信圈发一下，提醒各位父母，孩子贪玩，时时关注玩耍去向。莫一时大意，丢了孩子。请看管好自己的宝贝儿！ 昨天晚饭时，城关一妇女一个1岁多的小孩被3疑犯抢走 注意了 ，皖M.68815奥迪车，在十堰各学校门口抢小孩！！！110已经证实！！湖北省全市通缉！！不求点,,2018/4/19 22:15,rumor
