国士无双再出发钟南山昨飞青岛                 ,是入秋第一个社区性的，所以来调研吧，青岛应该不至于严重到院士来坐镇;已经辟谣了！你自己看着办吧 评论配图;应该是谣言，果断举报了;,10月13日 06:03    ,rumor
北京疫情突发，85岁的钟南山院士，再次逆行紧急赶赴首都北京 冷水江市 方强199812的微博视频,,06月18日 00:12    ,rumor
#北京抗疫##北京战役#钟南山院士已空降北京！为了每一位中国人的健康，四处奔波， 再次出“山”！！馋小爷的微博视频,,06月18日 14:19    ,rumor
84岁终钟南山再次出征北京，为钟老点,加油;;;,06月18日 13:29    ,rumor
84岁的高龄钟南山 院士，再次出征北京，心系人民，迎难而上，报效国家，他就是最最耀眼的一颗星，为钟老点,不要传谣;,06月18日 13:57    ,rumor
84岁钟南山院士再度出征！ 军人之家的微博视频,把老人家折腾的，唉;走路的步伐看起来很累。大半年时间都在紧张的状态，辛苦了。;老爷子还是累了，那些不听话的能上点心不?!;,06月17日 23:24    ,rumor
85岁高龄的钟南山 院士，步履蹒跚，再度出征北京协和医院，对此希望他“钟”止疫情，“南”关将过，“山”河无恙。祝愿祖国安好！ 上海·西渡 划时代的传奇之旅的微博视频,谣言止于智者;回复@红玲688 的表态:;晚上好;,06月19日 00:46    ,rumor
眼睛不知不觉湿润了，本该养老的年龄，为了“钟”止疫情，度过“南”关，再次出“山”！#北京疫情##钟南山##天津新增1例本土确诊系餐厅帮厨# 金刀王的微博视频,用龟头编故事？;,06月18日 00:16    ,rumor
钟南山来北京了……眼睛不知不觉湿润了，本该养老的年龄，为了“钟”止疫情，度过“南”关，再次出“山”！#北京身边事##北京头条# 北京·北京鸟巢水立方,谣言，传播谣言;,06月18日 08:33    ,rumor
听说钟南山院士也来北京了，北京加油，一定务必大家注意防护🙏 瓜农与花农的微博视频,心疼他，还没怎么休息呢，又去战斗了，也谢谢他;大家都要平安顺遂！;保护好自己啊;,06月18日 16:04    ,rumor
#北京防疫再入战时状态##北京战疫# 84岁的钟南山院士已空降北京！本该养老的年龄！为了“钟”止疫情，度过“南”关，再次出“山”！🙏#北京疫情# 语涵视听的微博视频,发挥能量了;,06月18日 10:29    ,rumor
据媒体，84岁的钟南山院士已空降北京！本该养老的年龄，为了“钟”止疫情，度过“南”关，再次出“山”！#奇趣视频#  #治愈视频#  最治愈的视频的微博视频,已经上升成了战胜新冠肺炎的精神支柱了;钟老先生是位英雄;不容易啊;,06月18日 12:20    ,rumor
