北京中关村家乐福发生突发事件，营业时间所有出入口用铁门封闭，不许进出，原因是一名女士在结账时身边的孩子突然失踪，幸亏及时报警，家乐福立刻封闭所有出入口寻找孩子，后来孩子在二楼卫生间找到，头发被剃光，衣服已经被换掉，人贩子不知去向，团伙作案手法迅速，年关将至出入公共场合务必带好娃  ,,2012/12/11 23:57,non-rumor
"那些被拐卖的妇女儿童是过着是怎样的生活，经常看到地铁口马路口那些乞讨的孩子，让人心酸！必须支持！强烈要求政府最大限度追究人贩子刑事责任！愿天下无拐！  
原始用户",,2012/12/12 23:58,non-rumor
我太婆6岁时被人贩子从上海拐卖到我老家，至死没找到家人，没回过上海。  ,一辈子就是一本书;;,2012/12/12 23:47,non-rumor
"今天认识了一位新朋友@maggie_d 听说了很多人贩子拐走小孩的事情。。麻麻以后每天都陪你去散步！一步也不离开你  
原始用户",这个小妈妈真用心呢。我一如既往的丢给我妈;,2012/12/13 23:41,non-rumor
"人贩子抓一个枪毙一个。  
原始用户",,2012/12/13 23:37,non-rumor
尝试到了肠胃感冒@Maggie园区人贩子爱旅游想闹哪样 下午你说自己要发烧，我反而大烧，你也在烧吗？  ,快快歹药快快好起来;回复@聪香吉味双拼饭:以后，把“你”拍死。不许诅咒自己哦…;那个“你”是谁呀？;,2012/12/13 23:35,non-rumor
【国内人贩子抢孩子新招！吓死人！ 妈妈们必看，告诉身边的人】当心询问孩子情况很详细的陌生人！！他们可能会问清楚情况，然后说孩子是他们的，然后抢走孩子！！也许只是你的小小一个转发，却挽救了一个家庭！！！！[吃驚][吃驚][吃驚]  原图 ,,2012/12/14 23:56,non-rumor
宝宝早日回家，人贩子都该砍头！//王于京,,2012/12/15 23:56,non-rumor
#微小说# 睡着睡着，觉得很冷，伸手去抓被子，猛地一抽，抓到了一把长长的东西，睁开眼睛一看，是一把干枯的稻草，自己正睡在一个破庙里，还以为自己穿越做了乞丐，但现实更残酷，我被人贩子拐了，昨夜好不容易逃了出来，摸着黑来到这个地方。．．想知道接下来的故事吗，共同期待吧！  ,,2012/12/15 23:51,non-rumor
人贩子抢孩子新招，太可怕太狠了，刚刚看到的帖子，年底了，大家要多注意照看好孩子啊！这是原帖的衔接！ http,很久的了，反正小心陌生人;,2012/12/16 23:52,non-rumor
"国内人贩子抢孩子新招！吓死人！ 妈妈们必看，告诉身边的人！  
原始用户",,2012/12/16 23:50,non-rumor
人贩子在列车上认识了一个美女。  人贩子提议下火车一起去山西农村体验农家乐！美女羞涩的答应了。  人贩子心想，那村子有家需要买媳妇，这美女一定能卖好价钱！  谁知到达后，人贩子却被几个壮汉拉进一个黑煤矿。  原来，他被美女卖到这里干苦力了  ,,2012/12/16 23:32,non-rumor
