好久没有发微博了[呵呵]这次发微博我想说，我失眠了，睡不着了，肿么办好痛苦啊555555@可乐肥猫 我在,,2013/1/4 23:59,non-rumor
201314.这个特殊的日子，是与寝室的小鬼们一起度过的。去Fiona租的公寓包馄饨、水饺、可乐鸡翅、围着火锅吃散伙饭，一共吃了4场。吃完后晚上10点半了，然后一路上打雪仗回学校，打的可猛了。青春就应该这样，该疯就疯，再不疯狂我们就老了！以后我会记在正值青春的时候我遇见过你们。  原图 ,或许   以后的时光再也没有这样开心的我们了  爱你们;,2013/1/4 23:59,non-rumor
今晚听到你所说的话，让我有点害怕，可乐老婆，我是爱你的，真不想让我心爱的女人成为别人，我是没钱，但我是真心的爱你，说不定只要我努力，我一定行的，别抛弃我，好不好。我害怕失去你，真的很怕失去你。  原图 ,我知道你會難過、你會傷心、但是如果我愛一個人、我會跟家人反抗到底的。一輩子很長、我希望的是疼我一輩子的人。;,2013/1/4 23:59,non-rumor
干了一瓶冰可乐，光脚，用凉水洗衣服，在大姨妈来临的时候，我是要作死！  原图 ,回复@紫韵之秋:太胖了，整没了~~~~;假笑不好看，双眼皮怎么没了？;,2013/1/4 23:59,non-rumor
"我在@微盘 分享了一个很不错的文件：""12111802王若琳.mp3""，快来看看吧~@薯我脆_小可乐 我记得的啦只是拖着不去做~o(>﹏<)o I M骚瑞~！渣录音机的软件好久没有官方更新了这个噪码率就将就听吧 ;-) http",嗯嗯！终于等到了。。。;@井砚 也送你听~;,2013/1/4 23:58,non-rumor
在今天，我也想要这样或是那样的浪漫……没有最失望，只有更失望。睡不着，特地跑出去喝口冰可乐，凉自肺腑。好多事我似乎想明白了可又好似做梦般看不长远，努力压抑我的坏情绪，坚持下去起码能放过自己。如果不曾难受过又怎能证明曾经幸福过，功过是非一念间，不过是庸人自扰而已……罢了罢了！  ,,2013/1/4 23:58,non-rumor
晚上叫了@游咖咖乌贼烧 的外送，百香果的很爱吼。可乐很好喝噢，里面是加了金橘吗？  原图 ,是呀是呀，品名就是金桔可乐呀。;,2013/1/4 23:58,non-rumor
我才刚评论就瞬间删帖啦@对可乐说分手的上进青年  ,回复@恋恋欢乐:[懒得理你][懒得理你]哈哈哈~~~;回复@对可乐说分手的上进青年:;低调点;,2013/1/5 23:59,non-rumor
又是你又是你又是你！只有你只有你只有你！@香草_可乐 听twines首分飞燕，就会想起你！有初恋的感觉！今晚banana asia...手撕包菜，不错！  原图 ,,2013/1/5 23:59,non-rumor
"【“香草”到底是什么植物？】不少人都喜欢吃香草味的冰激凌，其实“香草”是一种兰花哦~它叫香荚兰Vanilla planifolia，会结出果荚，鲜果荚没什么香味，需要杀青、发酵、烘干、陈化等过程，才会发出浓郁香气。马达加斯加是世界最大的香草出产国.其实,看看香草味可乐的包装,上面已经印了一朵香荚兰哦  原图 ",,2013/1/5 23:59,non-rumor
今晚大家一起在教师公寓做饭，一起打牌，一起打扫卫生。考完试大家就回家咯， 估计就要明年才能见面咯， 总算吃到了小郭做的可乐鸡翅，回到寝室发现室友给自己烧了洗脚的热水，收了洗衣房的衣服，哈哈，感慨下不多的大学日子！ 我在,回复@死胖子CJX:就只有戴老板走了！;你寝室难道还有人没走;,2013/1/5 23:59,non-rumor
午夜诱惑：尖椒小炒肉+KFC可乐，辣西西，香  #美图秀秀Android版#  原图 ,回复@石头来砌墙:吃光了才想起来拍;回复@黄油拌饭或猪油拌饭:嘿嘿，越辣越吃;尖椒小炒肉，我的心头爱呀!;,2013/1/5 23:58,non-rumor
可乐再不健康，倒影出来的杯子却不失硬朗。敢于发现生活中的美•  原图 ,回复@李昊洲:回来电话我，俺最近忙的都要晕死了;回复@妖先生的店:8号;你好就回來噢;,2013/1/5 23:58,non-rumor
【可乐鸡翅】1、将鸡翅，姜葱洗净，姜切片，葱折断，起油锅，爆香姜葱。2、鸡翅下锅，煎至表面稍黄，加入两勺的生抽，翻炒一小会儿。3、可乐倒入锅中，烧开后改中小火慢焖。4、待鸡翅焖软后，大火收干汤汁就行了。  原图 ,,2013/1/5 23:58,non-rumor
针对近期从QQ群、微信到微博对于可口可乐旗下美汁源的攻击诋毁，可口可乐中国及美汁源饮料已官方辟谣。谣言提及的《焦点访谈》栏目报道子虚乌有。《焦点访谈》最近没有，从来也没有报道过此类节目。 恳请各位朋友不信谣，不传谣。详情请见官方声明！@cindy静静静 @砚真 @拾五贰拾  ,亲爱的消费者，央视已澄清此事为蓄意造谣（http://t.cn/zjukD5m ）。为了对广大消费者负责，可口可乐已针对该起恶性网络谣言攻击拿起法律武器来维护中国的良性商业环境。（http://t.cn/zjuR8a6），也欢迎您和我们一起不信谣，不传谣。[呵呵];@聪聪很忙--tim @秦月飞花 @飞-可乐海 @風聲雨深 @军军大头 @Mr-_-coke @张家小建 @soddyxusi @超级无敌退休蜘蛛侠;,2013/1/5 23:58,non-rumor
半夜这个点老公想喝可乐，非常想喝，但又因为太冷了不想出门买，怎么办呢？后来我们叫了麦当劳外卖，可乐直接送到家  ,回复@fantasticYa:她睡觉了，哈哈！;我们家可乐从来不断，可乐在我家就是水;公主应该更开心;,2013/1/5 23:57,non-rumor
酒和可乐都喝了，略伤身。。性格所致，到现在都没有醉过略想发次酒疯  ,回复@娇娇小苦逼:看别人发酒疯的样子我就不想喝了。。;回复@冰果不错不错:带你一个么[挖鼻屎];;,2013/1/5 23:57,non-rumor
"可乐鸡翅  
原始用户",,2013/1/5 23:57,non-rumor
【治疗感冒的10种妙方】⑴热水泡脚⑵盐水漱口⑶冷水浴面⑷按摩鼻沟：两手对搓掌心热后按摩迎香穴(位于鼻沟内、横平鼻外缘中点)十余次⑸白酒擦身⑹可乐煮姜⑺呼吸蒸汽⑻热风吹面⑼蒜泥蜂蜜：等份蒜泥与蜂蜜混匀白开水送服⑽香油拌蛋：1两香油加热后打入1个鸡蛋冲进沸水搅匀。  原图 ,,2013/1/6 23:59,non-rumor
 @小可樂的麻麻咪 我们也挑了个好妈妈。小可乐也挑了对了。  原图 ,,2013/1/6 23:59,non-rumor
【水是最值得推荐的第一健康饮料】身体是一株植物，正确的“灌溉尝试”很重要。在医生眼里，糖是健康的大敌。研究证实，一听可乐中的糖能持续3小时让免疫系统能力下降30%，每天饮一次或多次可乐会使人患代谢综合征的风险加倍。最健康的饮品是水，每天8杯，其次才是咖啡和茶。  原图 ,,2013/1/6 23:59,non-rumor
从一阵对冰可乐的强烈欲望中醒来，冰箱里唯一能喝的却只有酒和一碗汤。操，好烧(≡＿≡)  ,,2013/1/6 23:57,non-rumor
晚上第一次尝试做可乐鸡翅，热乎乎得，还冒气呢，实在没法忍，吃了2个哇，太腻味了，什么能解腻? 睡前一称，貌似109?明早会有惊喜么?期待…晚安…[雪人][雪]  原图 ,回复@哇哩呜哩:可乐鸡翅，我表达有问题?;这叫什么菜啊;,2013/1/6 23:56,non-rumor
一度以为服务员给上了一听山寨可乐，原来是迷彩百事！  原图 ,,2013/1/6 23:56,non-rumor
王同学和李同学大老远给我带的可乐，真是有心啊！[汽车]  原图 ,,2013/1/7 23:59,non-rumor
"@火星人real @小雷哇 俩可乐王子，下次喝可乐的时候得小心点昂。。。  
原始用户",我真的已经把可乐戒了;,2013/1/7 23:59,non-rumor
可乐在生活中的六种妙用：1.可以用来清洁烧糊的锅；2.染发之后发现颜色有点重，用可乐洗头可帮你让颜色变浅些；3.能清洁你的首饰，让它们重现光彩。钻石除外；4.能够清除水壶里的残垢；6.把可乐和番茄酱以1比1的比例混合，能够做出美味的烤肉酱。  ,,2013/1/7 23:58,non-rumor
最近怎么了 吊丝们一夜之间都变成了屎娃娃 晚上一当事人现身说法讲了高速路上的各种囧与挣扎  太可乐了  ,回复@奇牙空间:那我替你代讲吧;回复@nakemilk:华阳不是屌丝聚集地么;回复@yaya_1983:坚决抵制;,2013/1/7 23:58,non-rumor
【孕妈妈不可吃的18种食物】【容易导致流产的食物】：1.螃蟹 2.甲鱼 3.薏米 4.马齿苋。【对胎儿有害的食物】：5.罐头食品 6.菠菜 7.巧克力和山楂 8.猪肝 9.久存的土豆 10.热性作料 11.味精 12.桂圆、荔枝 13.石榴 14.腌制酸菜 15.西瓜 16.饮浓茶 17.饮咖啡和可乐型饮料 18、饮酒  ,,2013/1/7 23:58,non-rumor
一路狂飙回家上厕所，才几杯可乐就通了，看来真的是老了。。冬天喝可乐雪碧实在是伤不起。下次咱们要换点别的@Tracytotti_11 @蕃茄叔叔丶  ,回复@蕃茄叔叔丶:不是有部电影叫「喜爱夜蒲」么。。夜蒲应该就是国语的泡吧？迪吧？我也不大懂国语怎么说;回复@蕃茄叔叔丶:我也不知道，你问@不靠谱90前 。。;夜浦是啥东西。？下次我们喝奶;,2013/1/7 23:58,non-rumor
【DIY秘制可乐鸡翅】1、鸡翅洗净，其中一面划两刀；2、加两勺料酒 一勺酱油 少许胡椒粉拌匀，腌制两小时以上；3、锅中放两勺油，将鸡翅放入，盖上锅盖；4、小火煎至两面金黄；5、下姜丝和葱白，转中火翻炒一分钟；6、倒入可乐和两勺老抽，烧开后转小火炖煮二十五分钟；7、转大火收汁  原图 ,,2013/1/7 23:57,non-rumor
